"REP","TPL","CULT","DFF","PLHT","PNCLE","GRNYLD"
"2","N","NDR2",118,128.6,280,5250
"1","N","OR2",113,145.7,295,4560
"2","N","OR2",114,144.6,305,4000
"1","N","RA1",125,120.7,295,4000
"2","N","RA1",125,124.3,200,3550
"3","N","RA1",125,122.8,197,3740
"2","N","NDR3",107,139.6,215,6050
"1","N","OR3",120,140.3,234,4600
"2","N","OR3",120,145.6,260,4400
"1","N","RA2",128,128.7,201,4250
"2","N","RA2",127,120.9,182,4900
"3","N","RA2",128,125.7,195,4700
"2","N","NDR4",116,152.5,280,4840
"1","N","OR4",114,120.3,225,3900
"2","N","OR4",116,123.7,230,4100
"1","N","S1",115,125.3,289,3510
"2","N","S1",115,122.4,291,3920
"3","N","S1",116,125.5,290,3250
"2","N","NDR5",110,140.5,233,3830
"1","N","OR5",110,125.7,287,4800
"2","N","OR5",111,130.4,295,4400
"1","N","S2",116,140,287,4550
"2","N","S2",116,139.6,280,4000
"3","N","S2",118,130.8,284,4230
