"Treatments","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8"
"62",39,7.67,64.94,113.05,122.66,6.72,6.49,7.71
"63",44.38,7.41,68.3,115.99,128.34,6.76,6.66,8.65
"64",42.13,7.19,68.88,119.77,90.78,6.67,7.21,7.9
"65",42.68,7.4,65.26,118.73,115.82,6.79,7.03,8.35
"66",40.62,7.85,65.17,113.06,134.02,6.79,6.38,8.44
"67",44.43,7.4,67.14,117.82,115.09,6.73,7.37,8.47
"68",41.56,6.94,69.03,115.53,93.68,6.63,6.79,7.23
"69",41.07,7,63.97,115.42,91.2,6.83,7.53,7.92
"70",41.1,7.71,63.98,113.52,144.02,6.86,6.65,11.09
"71",42.45,7.12,65.92,117.29,79.98,6.75,7.18,7.15
"72",42.12,7.35,60.95,108.99,128.1,6.77,6.4,8.13
"73",41,7.33,65.33,113.44,130.96,6.77,6.37,7.97
"74",43.67,7.64,62.95,118.32,119.09,6.72,7.15,9.26
"75",46.49,7.97,88.06,126.87,75.97,6.58,6.53,6.78
"76",42.98,7.39,66.57,119.79,118.84,6.65,7.04,8.54
"77",41.01,7.02,59.9,113.64,104.4,6.7,7.09,8.36
"78",48.85,6.84,45.32,104.53,66.53,6.75,8.27,7.69
"79",49.6,7.17,59.37,110.36,82.16,6.76,7.93,7.8
"80",49.5,7.4,62.24,113.1,144.37,6.5,6.64,9.01
"81",44.53,7.63,65.14,113.71,140.34,6.76,6.74,8.31
"82",46.59,7.47,85.08,123.53,72.37,6.67,6.37,6.74
"83",44.78,7.47,85.72,126.54,113.46,6.69,6.59,6.92
"84",42.22,7.33,69.77,115.38,105,6.7,6.67,8.11
"85",37.1,7.13,80.79,122.32,64.18,6.44,6.29,6.69
"86",44.42,6.94,66.76,120.34,49.67,6.33,8.35,7.28
"87",45.53,7.52,67.79,114.47,146.09,6.71,6.54,8.13
"88",42.5,7.48,62.49,114.59,130.72,6.79,6.61,8.24
"89",46.06,7.67,86.69,125.51,75.84,6.44,6.44,7.12
"90",36.44,7.45,71.74,114.81,137.22,6.73,6.28,8.23
"91",42.67,7.36,70.64,121.17,43.06,6.71,6.79,6.13
"92",40.44,7.06,59.99,107.81,99.93,6.86,7.11,8.53
"93",39.35,7.51,55.26,120.88,91.51,6.63,6.86,6.98
"94",45.41,7.08,67.92,118.8,64.25,6.63,7.93,7.61
"95",43.19,7.32,65.39,118.82,98.7,6.67,7.07,8.18
"96",45.43,7.52,65.12,118.9,95.82,6.79,7.61,8.21
"97",44.34,7.48,63.66,113.72,110.46,6.79,7.02,7.97
"98",42.76,7.25,63.02,109.59,104.84,6.84,7.08,9.16
"99",45.07,8.56,92.05,135.8,94.57,6.68,6.55,7.6
"100",40.96,7.39,63.33,112.4,96.36,6.76,6.9,7.56
"101",42.15,6.97,61.06,114.76,118.46,6.78,6.71,8.42
"102",40.36,7,69.93,120.29,53.84,6.23,8.44,7.15
"103",42.68,7.81,62.51,113.08,152.97,6.75,6.83,8.49
"104",39.78,7,69.38,121.18,76.18,6.57,8.58,9.46
"105",41.2,7.06,68.03,118.67,69.91,6.61,6.48,6.91
"106",40.65,7.16,65.63,118.89,92.78,6.71,7.03,7.99
"107",43.32,7.78,65.56,118.91,128.72,6.82,6.92,8.63
"108",50.53,7.07,68.18,118.8,89.23,6.72,7.84,8.66
"109",44.89,7.82,65.6,114.99,124.45,6.77,6.67,8.4
"110",46.23,7.72,67.76,120.83,111.15,6.72,7.52,9.12
