"KernelNumber","KernelColor","KernelType","KernelCategory","YellowKernel","WhiteKernel","FlintType","SweetType"
136,"yellow","sweet","yellow sweet",1,0,0,1
137,"white","flint","white flint",0,1,1,0
138,"yellow","flint","yellow flint",1,0,1,0
139,"yellow","flint","yellow flint",1,0,1,0
140,"white","flint","white flint",0,1,1,0
141,"white","flint","white flint",0,1,1,0
142,"yellow","sweet","yellow sweet",1,0,0,1
143,"yellow","flint","yellow flint",1,0,1,0
144,"yellow","sweet","yellow sweet",1,0,0,1
145,"white","sweet","white sweet",0,1,0,1
146,"yellow","flint","yellow flint",1,0,1,0
147,"yellow","flint","yellow flint",1,0,1,0
148,"yellow","flint","yellow flint",1,0,1,0
149,"yellow","sweet","yellow sweet",1,0,0,1
150,"yellow","flint","yellow flint",1,0,1,0
151,"yellow","flint","yellow flint",1,0,1,0
152,"yellow","flint","yellow flint",1,0,1,0
153,"yellow","flint","yellow flint",1,0,1,0
154,"yellow","flint","yellow flint",1,0,1,0
155,"yellow","flint","yellow flint",1,0,1,0
156,"yellow","flint","yellow flint",1,0,1,0
157,"yellow","flint","yellow flint",1,0,1,0
158,"yellow","sweet","yellow sweet",1,0,0,1
159,"yellow","flint","yellow flint",1,0,1,0
160,"yellow","flint","yellow flint",1,0,1,0
161,"yellow","flint","yellow flint",1,0,1,0
162,"yellow","flint","yellow flint",1,0,1,0
163,"yellow","sweet","yellow sweet",1,0,0,1
164,"white","sweet","white sweet",0,1,0,1
165,"yellow","flint","yellow flint",1,0,1,0
166,"yellow","flint","yellow flint",1,0,1,0
167,"white","flint","white flint",0,1,1,0
168,"yellow","sweet","yellow sweet",1,0,0,1
169,"yellow","flint","yellow flint",1,0,1,0
170,"yellow","flint","yellow flint",1,0,1,0
171,"yellow","sweet","yellow sweet",1,0,0,1
172,"yellow","sweet","yellow sweet",1,0,0,1
173,"yellow","flint","yellow flint",1,0,1,0
174,"yellow","flint","yellow flint",1,0,1,0
175,"yellow","sweet","yellow sweet",1,0,0,1
176,"white","flint","white flint",0,1,1,0
177,"yellow","flint","yellow flint",1,0,1,0
178,"yellow","flint","yellow flint",1,0,1,0
179,"yellow","flint","yellow flint",1,0,1,0
180,"yellow","flint","yellow flint",1,0,1,0
181,"yellow","flint","yellow flint",1,0,1,0
182,"white","flint","white flint",0,1,1,0
183,"yellow","flint","yellow flint",1,0,1,0
184,"white","flint","white flint",0,1,1,0
185,"yellow","flint","yellow flint",1,0,1,0
186,"yellow","sweet","yellow sweet",1,0,0,1
187,"yellow","flint","yellow flint",1,0,1,0
188,"yellow","flint","yellow flint",1,0,1,0
189,"yellow","flint","yellow flint",1,0,1,0
190,"yellow","flint","yellow flint",1,0,1,0
191,"yellow","flint","yellow flint",1,0,1,0
192,"white","flint","white flint",0,1,1,0
193,"yellow","flint","yellow flint",1,0,1,0
194,"yellow","flint","yellow flint",1,0,1,0
195,"yellow","sweet","yellow sweet",1,0,0,1
196,"white","flint","white flint",0,1,1,0
197,"yellow","flint","yellow flint",1,0,1,0
198,"white","sweet","white sweet",0,1,0,1
199,"yellow","flint","yellow flint",1,0,1,0
200,"yellow","flint","yellow flint",1,0,1,0
201,"yellow","flint","yellow flint",1,0,1,0
202,"yellow","flint","yellow flint",1,0,1,0
203,"yellow","flint","yellow flint",1,0,1,0
204,"white","flint","white flint",0,1,1,0
205,"yellow","flint","yellow flint",1,0,1,0
206,"yellow","flint","yellow flint",1,0,1,0
207,"white","flint","white flint",0,1,1,0
208,"yellow","flint","yellow flint",1,0,1,0
209,"yellow","flint","yellow flint",1,0,1,0
210,"yellow","flint","yellow flint",1,0,1,0
211,"white","flint","white flint",0,1,1,0
212,"yellow","sweet","yellow sweet",1,0,0,1
213,"yellow","sweet","yellow sweet",1,0,0,1
214,"yellow","flint","yellow flint",1,0,1,0
215,"yellow","flint","yellow flint",1,0,1,0
216,"yellow","flint","yellow flint",1,0,1,0
217,"yellow","flint","yellow flint",1,0,1,0
218,"yellow","flint","yellow flint",1,0,1,0
219,"yellow","flint","yellow flint",1,0,1,0
220,"yellow","flint","yellow flint",1,0,1,0
221,"yellow","flint","yellow flint",1,0,1,0
222,"yellow","flint","yellow flint",1,0,1,0
223,"yellow","flint","yellow flint",1,0,1,0
224,"white","flint","white flint",0,1,1,0
225,"yellow","flint","yellow flint",1,0,1,0
226,"yellow","sweet","yellow sweet",1,0,0,1
227,"yellow","flint","yellow flint",1,0,1,0
228,"white","sweet","white sweet",0,1,0,1
229,"yellow","flint","yellow flint",1,0,1,0
230,"yellow","sweet","yellow sweet",1,0,0,1
231,"yellow","flint","yellow flint",1,0,1,0
232,"yellow","flint","yellow flint",1,0,1,0
233,"white","flint","white flint",0,1,1,0
234,"yellow","flint","yellow flint",1,0,1,0
235,"white","sweet","white sweet",0,1,0,1
236,"yellow","sweet","yellow sweet",1,0,0,1
237,"white","flint","white flint",0,1,1,0
238,"yellow","sweet","yellow sweet",1,0,0,1
239,"white","flint","white flint",0,1,1,0
240,"yellow","flint","yellow flint",1,0,1,0
241,"yellow","flint","yellow flint",1,0,1,0
242,"white","flint","white flint",0,1,1,0
243,"yellow","flint","yellow flint",1,0,1,0
244,"white","flint","white flint",0,1,1,0
245,"yellow","sweet","yellow sweet",1,0,0,1
246,"yellow","flint","yellow flint",1,0,1,0
247,"yellow","flint","yellow flint",1,0,1,0
248,"yellow","flint","yellow flint",1,0,1,0
249,"yellow","sweet","yellow sweet",1,0,0,1
250,"yellow","flint","yellow flint",1,0,1,0
251,"white","flint","white flint",0,1,1,0
252,"yellow","flint","yellow flint",1,0,1,0
253,"yellow","flint","yellow flint",1,0,1,0
254,"yellow","sweet","yellow sweet",1,0,0,1
255,"yellow","flint","yellow flint",1,0,1,0
256,"yellow","sweet","yellow sweet",1,0,0,1
257,"yellow","flint","yellow flint",1,0,1,0
258,"yellow","flint","yellow flint",1,0,1,0
259,"yellow","flint","yellow flint",1,0,1,0
260,"yellow","flint","yellow flint",1,0,1,0
261,"yellow","sweet","yellow sweet",1,0,0,1
262,"yellow","sweet","yellow sweet",1,0,0,1
263,"yellow","sweet","yellow sweet",1,0,0,1
264,"yellow","flint","yellow flint",1,0,1,0
265,"white","sweet","white sweet",0,1,0,1
266,"white","flint","white flint",0,1,1,0
267,"yellow","flint","yellow flint",1,0,1,0
268,"yellow","flint","yellow flint",1,0,1,0
269,"yellow","flint","yellow flint",1,0,1,0
270,"yellow","flint","yellow flint",1,0,1,0
271,"yellow","flint","yellow flint",1,0,1,0
272,"yellow","sweet","yellow sweet",1,0,0,1
273,"yellow","flint","yellow flint",1,0,1,0
274,"yellow","flint","yellow flint",1,0,1,0
275,"yellow","flint","yellow flint",1,0,1,0
276,"yellow","flint","yellow flint",1,0,1,0
277,"yellow","flint","yellow flint",1,0,1,0
278,"white","flint","white flint",0,1,1,0
279,"yellow","flint","yellow flint",1,0,1,0
280,"yellow","flint","yellow flint",1,0,1,0
281,"white","sweet","white sweet",0,1,0,1
282,"yellow","flint","yellow flint",1,0,1,0
283,"yellow","flint","yellow flint",1,0,1,0
284,"yellow","flint","yellow flint",1,0,1,0
285,"yellow","flint","yellow flint",1,0,1,0
286,"white","flint","white flint",0,1,1,0
287,"yellow","flint","yellow flint",1,0,1,0
288,"yellow","flint","yellow flint",1,0,1,0
289,"yellow","flint","yellow flint",1,0,1,0
290,"yellow","flint","yellow flint",1,0,1,0
291,"yellow","sweet","yellow sweet",1,0,0,1
292,"yellow","sweet","yellow sweet",1,0,0,1
293,"yellow","flint","yellow flint",1,0,1,0
294,"yellow","sweet","yellow sweet",1,0,0,1
295,"yellow","flint","yellow flint",1,0,1,0
296,"yellow","flint","yellow flint",1,0,1,0
297,"yellow","flint","yellow flint",1,0,1,0
298,"white","flint","white flint",0,1,1,0
299,"yellow","flint","yellow flint",1,0,1,0
300,"yellow","flint","yellow flint",1,0,1,0
301,"yellow","flint","yellow flint",1,0,1,0
302,"yellow","sweet","yellow sweet",1,0,0,1
303,"yellow","sweet","yellow sweet",1,0,0,1
304,"yellow","flint","yellow flint",1,0,1,0
305,"yellow","flint","yellow flint",1,0,1,0
306,"white","flint","white flint",0,1,1,0
307,"white","flint","white flint",0,1,1,0
308,"yellow","flint","yellow flint",1,0,1,0
309,"yellow","sweet","yellow sweet",1,0,0,1
310,"yellow","flint","yellow flint",1,0,1,0
311,"yellow","flint","yellow flint",1,0,1,0
312,"yellow","sweet","yellow sweet",1,0,0,1
313,"white","sweet","white sweet",0,1,0,1
314,"white","sweet","white sweet",0,1,0,1
315,"yellow","flint","yellow flint",1,0,1,0
316,"yellow","flint","yellow flint",1,0,1,0
317,"yellow","sweet","yellow sweet",1,0,0,1
318,"yellow","sweet","yellow sweet",1,0,0,1
319,"yellow","flint","yellow flint",1,0,1,0
320,"yellow","flint","yellow flint",1,0,1,0
321,"white","flint","white flint",0,1,1,0
322,"yellow","flint","yellow flint",1,0,1,0
323,"white","flint","white flint",0,1,1,0
324,"yellow","flint","yellow flint",1,0,1,0
325,"white","flint","white flint",0,1,1,0
326,"yellow","sweet","yellow sweet",1,0,0,1
327,"yellow","sweet","yellow sweet",1,0,0,1
328,"yellow","flint","yellow flint",1,0,1,0
329,"yellow","flint","yellow flint",1,0,1,0
330,"white","flint","white flint",0,1,1,0
331,"yellow","flint","yellow flint",1,0,1,0
332,"yellow","flint","yellow flint",1,0,1,0
333,"yellow","flint","yellow flint",1,0,1,0
334,"yellow","flint","yellow flint",1,0,1,0
335,"yellow","sweet","yellow sweet",1,0,0,1
336,"yellow","flint","yellow flint",1,0,1,0
337,"yellow","flint","yellow flint",1,0,1,0
338,"yellow","sweet","yellow sweet",1,0,0,1
339,"yellow","flint","yellow flint",1,0,1,0
340,"yellow","flint","yellow flint",1,0,1,0
341,"yellow","flint","yellow flint",1,0,1,0
342,"yellow","flint","yellow flint",1,0,1,0
343,"yellow","flint","yellow flint",1,0,1,0
344,"white","sweet","white sweet",0,1,0,1
345,"yellow","sweet","yellow sweet",1,0,0,1
346,"yellow","sweet","yellow sweet",1,0,0,1
347,"white","flint","white flint",0,1,1,0
348,"yellow","flint","yellow flint",1,0,1,0
349,"white","flint","white flint",0,1,1,0
350,"yellow","flint","yellow flint",1,0,1,0
351,"white","flint","white flint",0,1,1,0
352,"yellow","flint","yellow flint",1,0,1,0
353,"white","flint","white flint",0,1,1,0
354,"yellow","flint","yellow flint",1,0,1,0
355,"yellow","flint","yellow flint",1,0,1,0
356,"yellow","sweet","yellow sweet",1,0,0,1
357,"yellow","sweet","yellow sweet",1,0,0,1
358,"yellow","flint","yellow flint",1,0,1,0
359,"white","flint","white flint",0,1,1,0
360,"yellow","sweet","yellow sweet",1,0,0,1
361,"yellow","flint","yellow flint",1,0,1,0
362,"yellow","flint","yellow flint",1,0,1,0
363,"yellow","sweet","yellow sweet",1,0,0,1
364,"yellow","sweet","yellow sweet",1,0,0,1
365,"yellow","flint","yellow flint",1,0,1,0
366,"yellow","flint","yellow flint",1,0,1,0
367,"yellow","flint","yellow flint",1,0,1,0
368,"white","flint","white flint",0,1,1,0
369,"white","flint","white flint",0,1,1,0
370,"yellow","sweet","yellow sweet",1,0,0,1
371,"yellow","flint","yellow flint",1,0,1,0
372,"white","flint","white flint",0,1,1,0
373,"yellow","sweet","yellow sweet",1,0,0,1
374,"yellow","flint","yellow flint",1,0,1,0
375,"yellow","flint","yellow flint",1,0,1,0
376,"yellow","sweet","yellow sweet",1,0,0,1
377,"yellow","flint","yellow flint",1,0,1,0
378,"white","sweet","white sweet",0,1,0,1
379,"yellow","flint","yellow flint",1,0,1,0
380,"yellow","flint","yellow flint",1,0,1,0
381,"white","flint","white flint",0,1,1,0
382,"yellow","sweet","yellow sweet",1,0,0,1
383,"yellow","flint","yellow flint",1,0,1,0
384,"yellow","flint","yellow flint",1,0,1,0
385,"yellow","sweet","yellow sweet",1,0,0,1
386,"yellow","flint","yellow flint",1,0,1,0
387,"yellow","flint","yellow flint",1,0,1,0
388,"yellow","flint","yellow flint",1,0,1,0
389,"yellow","sweet","yellow sweet",1,0,0,1
390,"yellow","flint","yellow flint",1,0,1,0
391,"yellow","flint","yellow flint",1,0,1,0
392,"yellow","flint","yellow flint",1,0,1,0
393,"yellow","sweet","yellow sweet",1,0,0,1
394,"yellow","flint","yellow flint",1,0,1,0
395,"white","sweet","white sweet",0,1,0,1
396,"yellow","flint","yellow flint",1,0,1,0
397,"yellow","flint","yellow flint",1,0,1,0
398,"yellow","sweet","yellow sweet",1,0,0,1
399,"yellow","sweet","yellow sweet",1,0,0,1
400,"yellow","sweet","yellow sweet",1,0,0,1
401,"yellow","flint","yellow flint",1,0,1,0
402,"yellow","flint","yellow flint",1,0,1,0
403,"white","flint","white flint",0,1,1,0
404,"yellow","sweet","yellow sweet",1,0,0,1
405,"white","flint","white flint",0,1,1,0
406,"yellow","flint","yellow flint",1,0,1,0
407,"yellow","flint","yellow flint",1,0,1,0
408,"yellow","flint","yellow flint",1,0,1,0
409,"yellow","flint","yellow flint",1,0,1,0
410,"white","sweet","white sweet",0,1,0,1
411,"yellow","flint","yellow flint",1,0,1,0
412,"yellow","flint","yellow flint",1,0,1,0
413,"yellow","sweet","yellow sweet",1,0,0,1
414,"yellow","sweet","yellow sweet",1,0,0,1
415,"yellow","sweet","yellow sweet",1,0,0,1
416,"yellow","flint","yellow flint",1,0,1,0
417,"white","flint","white flint",0,1,1,0
418,"yellow","sweet","yellow sweet",1,0,0,1
419,"yellow","flint","yellow flint",1,0,1,0
420,"yellow","flint","yellow flint",1,0,1,0
421,"yellow","flint","yellow flint",1,0,1,0
422,"yellow","flint","yellow flint",1,0,1,0
423,"yellow","flint","yellow flint",1,0,1,0
424,"yellow","flint","yellow flint",1,0,1,0
425,"yellow","sweet","yellow sweet",1,0,0,1
426,"yellow","flint","yellow flint",1,0,1,0
427,"yellow","sweet","yellow sweet",1,0,0,1
428,"yellow","flint","yellow flint",1,0,1,0
429,"yellow","flint","yellow flint",1,0,1,0
430,"white","flint","white flint",0,1,1,0
431,"yellow","flint","yellow flint",1,0,1,0
432,"yellow","flint","yellow flint",1,0,1,0
433,"yellow","flint","yellow flint",1,0,1,0
434,"yellow","flint","yellow flint",1,0,1,0
435,"yellow","flint","yellow flint",1,0,1,0
436,"yellow","flint","yellow flint",1,0,1,0
437,"yellow","sweet","yellow sweet",1,0,0,1
438,"yellow","flint","yellow flint",1,0,1,0
439,"yellow","sweet","yellow sweet",1,0,0,1
440,"yellow","flint","yellow flint",1,0,1,0
441,"yellow","sweet","yellow sweet",1,0,0,1
442,"yellow","sweet","yellow sweet",1,0,0,1
443,"yellow","flint","yellow flint",1,0,1,0
444,"yellow","flint","yellow flint",1,0,1,0
445,"yellow","flint","yellow flint",1,0,1,0
446,"yellow","flint","yellow flint",1,0,1,0
447,"yellow","sweet","yellow sweet",1,0,0,1
448,"white","flint","white flint",0,1,1,0
449,"white","sweet","white sweet",0,1,0,1
450,"yellow","flint","yellow flint",1,0,1,0
451,"yellow","flint","yellow flint",1,0,1,0
452,"yellow","flint","yellow flint",1,0,1,0
453,"yellow","sweet","yellow sweet",1,0,0,1
454,"yellow","flint","yellow flint",1,0,1,0
455,"yellow","flint","yellow flint",1,0,1,0
456,"white","sweet","white sweet",0,1,0,1
457,"yellow","flint","yellow flint",1,0,1,0
458,"yellow","flint","yellow flint",1,0,1,0
459,"yellow","flint","yellow flint",1,0,1,0
460,"yellow","flint","yellow flint",1,0,1,0
461,"white","flint","white flint",0,1,1,0
462,"white","flint","white flint",0,1,1,0
463,"yellow","flint","yellow flint",1,0,1,0
464,"white","flint","white flint",0,1,1,0
465,"white","flint","white flint",0,1,1,0
466,"yellow","flint","yellow flint",1,0,1,0
467,"yellow","flint","yellow flint",1,0,1,0
468,"yellow","flint","yellow flint",1,0,1,0
469,"white","sweet","white sweet",0,1,0,1
470,"yellow","flint","yellow flint",1,0,1,0
471,"yellow","flint","yellow flint",1,0,1,0
472,"yellow","flint","yellow flint",1,0,1,0
473,"white","flint","white flint",0,1,1,0
474,"yellow","flint","yellow flint",1,0,1,0
475,"yellow","flint","yellow flint",1,0,1,0
476,"yellow","flint","yellow flint",1,0,1,0
477,"yellow","flint","yellow flint",1,0,1,0
478,"yellow","flint","yellow flint",1,0,1,0
479,"white","sweet","white sweet",0,1,0,1
480,"white","flint","white flint",0,1,1,0
481,"yellow","sweet","yellow sweet",1,0,0,1
482,"yellow","sweet","yellow sweet",1,0,0,1
483,"yellow","flint","yellow flint",1,0,1,0
484,"yellow","flint","yellow flint",1,0,1,0
485,"white","sweet","white sweet",0,1,0,1
486,"yellow","sweet","yellow sweet",1,0,0,1
487,"yellow","flint","yellow flint",1,0,1,0
488,"yellow","flint","yellow flint",1,0,1,0
489,"yellow","sweet","yellow sweet",1,0,0,1
490,"yellow","flint","yellow flint",1,0,1,0
491,"yellow","sweet","yellow sweet",1,0,0,1
492,"yellow","flint","yellow flint",1,0,1,0
493,"yellow","flint","yellow flint",1,0,1,0
494,"yellow","flint","yellow flint",1,0,1,0
495,"yellow","flint","yellow flint",1,0,1,0
496,"yellow","flint","yellow flint",1,0,1,0
497,"yellow","flint","yellow flint",1,0,1,0
498,"yellow","flint","yellow flint",1,0,1,0
499,"yellow","sweet","yellow sweet",1,0,0,1
500,"yellow","flint","yellow flint",1,0,1,0
501,"yellow","sweet","yellow sweet",1,0,0,1
502,"yellow","flint","yellow flint",1,0,1,0
503,"yellow","sweet","yellow sweet",1,0,0,1
504,"yellow","flint","yellow flint",1,0,1,0
505,"white","flint","white flint",0,1,1,0
506,"yellow","flint","yellow flint",1,0,1,0
507,"yellow","flint","yellow flint",1,0,1,0
508,"yellow","flint","yellow flint",1,0,1,0
509,"yellow","flint","yellow flint",1,0,1,0
510,"yellow","flint","yellow flint",1,0,1,0
511,"yellow","flint","yellow flint",1,0,1,0
512,"white","flint","white flint",0,1,1,0
513,"yellow","flint","yellow flint",1,0,1,0
514,"yellow","flint","yellow flint",1,0,1,0
515,"yellow","flint","yellow flint",1,0,1,0
516,"yellow","sweet","yellow sweet",1,0,0,1
517,"white","sweet","white sweet",0,1,0,1
518,"yellow","flint","yellow flint",1,0,1,0
519,"yellow","flint","yellow flint",1,0,1,0
520,"yellow","flint","yellow flint",1,0,1,0
521,"yellow","flint","yellow flint",1,0,1,0
522,"yellow","flint","yellow flint",1,0,1,0
523,"yellow","sweet","yellow sweet",1,0,0,1
524,"yellow","flint","yellow flint",1,0,1,0
525,"yellow","flint","yellow flint",1,0,1,0
526,"yellow","flint","yellow flint",1,0,1,0
527,"yellow","flint","yellow flint",1,0,1,0
528,"yellow","flint","yellow flint",1,0,1,0
529,"yellow","flint","yellow flint",1,0,1,0
530,"yellow","sweet","yellow sweet",1,0,0,1
531,"white","flint","white flint",0,1,1,0
532,"white","flint","white flint",0,1,1,0
533,"yellow","sweet","yellow sweet",1,0,0,1
534,"white","sweet","white sweet",0,1,0,1
535,"yellow","flint","yellow flint",1,0,1,0
536,"yellow","flint","yellow flint",1,0,1,0
537,"yellow","flint","yellow flint",1,0,1,0
538,"yellow","flint","yellow flint",1,0,1,0
539,"yellow","flint","yellow flint",1,0,1,0
540,"yellow","flint","yellow flint",1,0,1,0
541,"yellow","flint","yellow flint",1,0,1,0
542,"yellow","sweet","yellow sweet",1,0,0,1
543,"yellow","flint","yellow flint",1,0,1,0
544,"yellow","flint","yellow flint",1,0,1,0
545,"white","sweet","white sweet",0,1,0,1
546,"yellow","flint","yellow flint",1,0,1,0
547,"yellow","flint","yellow flint",1,0,1,0
548,"yellow","flint","yellow flint",1,0,1,0
549,"yellow","flint","yellow flint",1,0,1,0
550,"white","flint","white flint",0,1,1,0
551,"yellow","flint","yellow flint",1,0,1,0
552,"yellow","flint","yellow flint",1,0,1,0
553,"yellow","flint","yellow flint",1,0,1,0
554,"yellow","flint","yellow flint",1,0,1,0
555,"yellow","flint","yellow flint",1,0,1,0
556,"white","flint","white flint",0,1,1,0
557,"yellow","flint","yellow flint",1,0,1,0
558,"yellow","flint","yellow flint",1,0,1,0
559,"white","flint","white flint",0,1,1,0
560,"yellow","flint","yellow flint",1,0,1,0
561,"yellow","flint","yellow flint",1,0,1,0
562,"yellow","sweet","yellow sweet",1,0,0,1
563,"yellow","flint","yellow flint",1,0,1,0
564,"yellow","flint","yellow flint",1,0,1,0
565,"yellow","flint","yellow flint",1,0,1,0
566,"yellow","flint","yellow flint",1,0,1,0
567,"yellow","flint","yellow flint",1,0,1,0
568,"yellow","flint","yellow flint",1,0,1,0
569,"yellow","flint","yellow flint",1,0,1,0
570,"yellow","flint","yellow flint",1,0,1,0
571,"yellow","flint","yellow flint",1,0,1,0
572,"yellow","flint","yellow flint",1,0,1,0
573,"yellow","flint","yellow flint",1,0,1,0
574,"yellow","sweet","yellow sweet",1,0,0,1
575,"yellow","flint","yellow flint",1,0,1,0
576,"yellow","flint","yellow flint",1,0,1,0
577,"white","flint","white flint",0,1,1,0
578,"yellow","flint","yellow flint",1,0,1,0
579,"yellow","flint","yellow flint",1,0,1,0
580,"yellow","sweet","yellow sweet",1,0,0,1
581,"yellow","sweet","yellow sweet",1,0,0,1
582,"yellow","flint","yellow flint",1,0,1,0
583,"white","flint","white flint",0,1,1,0
584,"yellow","flint","yellow flint",1,0,1,0
