"SITE","FIELD_NO","Number","VAR","DH","WH","WM","LF","RT","BS","SHB","NB","LB","BLB","WA","WB"
"B",46,6,"HYB2",9.09,18.18,546,1022,0,0,8.33,0,238,1653,27.98,47.74
"B",47,7,"HYB2",0,9.09,539,1168,0,0,25,15,287,1532,29.57,504
"B",48,8,"HYB2",0,0,1112,980,0,0,20.83,12.5,210,716,28.82,46.37
"B",49,9,"HYB2",3.57,3.57,540,932,0,0,18.52,31.11,258,1637,23.5,47.21
"B",50,10,"HYB2",0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5
"B",51,11,"HYB2",0,0,514,818,0,0,0,0,228,1553,10,59.41
"B",52,12,"HYB2",0,0,681,848,0,0,15.79,25.26,236,1002,17.95,47.62
"B",53,13,"HYB2",0,17.65,815,853,0,0,0,0,232,1287,29.71,48.45
"B",54,14,"HYB2",0,10.53,363,983,0,0,21.05,25.79,205,891,39.5,59.12
"B",55,15,"HYB2",0,18.75,106,1275,0,0,11.76,21.76,196,1876,24.75,55.71
"B",56,16,"HYB2",7.14,7.14,407,1063,14.29,0,16.67,36.67,452,1651,20.86,43.85
"B",57,17,"HYB2",0,7.69,301,923,0,0,20,14.29,165,1756,23.98,38.54
"B",58,18,"HYB2",0,0,352,1025,0,0,13.33,26.67,120,1077,21.64,62.61
"B",59,19,"HYB1",0,0,3.21,85,0,0,0,0,0,9.9,15.67,152.4
"B",60,20,"HYB2",21.05,0,572,878,5.26,0,30,15,87,1029,24.65,49.15
"B",61,21,"HYB2",0,0,918.5,917.5,0,0,20.25,34,217.5,1803.5,28.7,58
"B",62,22,"HYB2",22.55,0,573.5,879.5,6.76,0,30,16.5,88.5,1030.5,26.15,50.65
"B",63,23,"HYB2",5.07,5.07,540,933.5,0,0,20.02,32.61,259.5,1638.5,25,48.71
"B",64,24,"HYB2",24.58,9.19,619.5,999.5,9.19,0,13.5,15.79,95.5,1518.5,28.92,59.71
"B",65,25,"HYB2",0,0,1113.5,980,0,0,22.33,14,210,717.5,30.32,47.87
"B",66,26,"HYB2",0,0,353.5,1026.5,0,0,14.83,8.17,120,1078.5,23.14,64.11
"B",67,27,"HYB2",0,10.59,540.5,1169.5,0,0,26.5,16.5,288.5,1533.5,31.07,53.04
"B",68,28,"MV1",0,0,0,0,0,12.41,0,0,0,0,145.65,940.73
"B",69,29,"HYB2",10.59,19.68,547.5,1023.5,0,0,9.83,0,239.5,1654.5,29.48,49.24
"B",70,30,"HYB2",8.64,8.64,408.5,1064.5,15.79,0,18.17,38.17,453.5,1652.5,22.36,45.35
"B",71,31,"MV1",0,0,0,0,0,12.41,0,0,0,0,145.65,940.73
"B",72,32,"HYB2",0,20.25,107.5,1276.5,0,0,13.26,13.26,197.5,1877.5,26.25,57.21
"B",73,33,"MV1",0,0,50,0,0,730.5,4.17,55.56,345,0,92.88,937.61
"B",74,34,"HYB2",0,12.03,364.5,984.5,0,0,22.55,27.29,206.5,892.5,41,60.62
"B",75,35,"HYB2",7.75,0,792.5,579.5,7.75,0,7.38,27.38,257.5,853.5,22.92,55.91
"B",76,36,"MV2",0,0,49.52,0,0,91.82,0,50.35,299.32,0,25,90.12
"B",77,37,"HYB2",4.95,0,424.5,527.5,0,0,15.79,12.21,84.5,837.5,28.1,59.12
"B",78,38,"HYB2",0,0,682.5,849.5,0,0,17.29,26.76,237.5,1003.5,19.45,49.12
"B",79,39,"HYB2",5.5,9.5,585.5,840.5,0,0,16.88,13.04,237.5,1405.5,28.7,52.54
"B",80,40,"HYB2",0,0,515.5,819.5,0,0,0,0,229.5,1554.5,10,60.91
"C",81,1,"HYB1",1.11,0.76,19.2,53.89,4,0,4,0,0,0,19.03,78.57
"C",82,2,"HYB1",2.78,0.59,19.12,57.84,0,0,0,0,0,8.05,19.73,98.81
"C",83,3,"HYB1",0.98,0,3.12,17.4,12.5,0,12.5,0,0,13.78,64.86,91.83
"C",84,4,"MV1",0,0,142.67,57.67,0,80.65,6.76,90,230,0,0,0
"C",85,5,"HYB1",4,8,584,839,0,0,15.38,15.44,86,200,12,49
"C",86,6,"HYB1",2.08,1.19,21.71,29.61,0,0,0,0,0,0,66.13,243.2
"C",87,7,"HYB1",1.7,0.35,14.81,72.34,10.4,0,10.4,0,0,0,64.94,258.72
"C",88,8,"HYB1",1.98,1.35,27.53,0,7.14,0,7.14,0,0,0,58.11,188.32
"C",89,9,"HYB1",2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05
"C",90,10,"HYB1",1.76,1.05,13.56,25.62,12.5,0,12.5,0,0,0,57.41,180.91
"C",91,11,"HYB2",4,8,584,839,0,0,15.38,21.4,236,1404,27.2,51.04
"C",92,12,"HYB2",3.45,0,423,526,0,0,14.29,10.71,83,836,26.6,57.62
"C",93,13,"HYB2",6.25,0,791,578,6.25,0,5.88,65.88,256,852,21.42,54.41
"C",94,14,"HYB2",0,0,314,607,0,0,18.75,12.5,284,778,20.91,49.17
"C",95,15,"HYB2",0,0,717,962,0,0,15.38,27.69,256,1013,27.71,49.2
"C",96,16,"HYB2",9.09,18.18,546,1022,0,0,8.33,0,238,1653,27.98,47.74
"C",97,17,"HYB2",0,9.09,539,1168,0,0,25,15,287,1532,29.57,504
"C",98,18,"HYB2",0,0,1112,980,0,0,20.83,12.5,210,716,28.82,46.37
"C",99,19,"HYB2",3.57,3.57,540,932,0,0,18.52,31.11,258,1637,23.5,47.21
"C",100,20,"HYB2",0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5
"C",101,21,"MV1",0,0,0,0,0,22.5,3.85,0,0,0,200,1690
"C",102,22,"MV1",0,0,0,0,0,3.5,0,0,0,0,99.17,730.83
"C",103,23,"MV1",0,0,0,0,0,13.15,17.65,0,0,0,148.14,848.14
"C",104,24,"MV1",0,0,0,0,0,3.5,6.25,0,0,0,60.33,372.53
"C",105,25,"MV1",0,0,0,0,0,18.13,0,0,0,0,60.74,369.01
"C",106,26,"MV1",0,0,0,0,0,21.15,0,0,0,0,243.74,1973.34
"C",107,27,"MV1",0,0,0,0,0,16,10,0,0,0,243.97,1606.78
"C",108,28,"MV1",0,0,0,0,0,67.64,4.17,0,0,0,249.88,1897.61
"C",109,29,"MV1",0,0,0,0,0,33.31,0,0,0,0,143.46,1479.74
"C",110,30,"MV1",0,0,0,0,0,11.67,12.5,0,0,0,32.49,380.76
"C",111,31,"MV2",0,0,149.73,24.73,0,597.1,3.57,33.33,201.63,0,49.17,229.17
"C",112,32,"MV2",0,0,121.98,56.98,0,102.15,11.76,35,202.15,0,98.14,111.86
"C",113,33,"MV2",0,0,0,0,0,71.23,6.25,33.33,185,0,10.33,587.47
"C",114,34,"MV2",0,0,0,0,0,87.13,0,29.41,187.13,0,10.74,590.99
"C",115,35,"MV2",0,0,203.32,98.32,0,790.15,0,68.42,300.15,0,93.74,413.34
"C",116,36,"MV2",0,0,0,0,0,720.1,0,71.43,350,0,93.97,646.78
"C",117,37,"MV2",0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61
"C",118,38,"MV2",0,0,153.27,88.27,0,422.31,0,33.33,222.31,0,93.46,519.74
"C",119,39,"MV2",0,0,61.44,0,0,547.71,0,30.8,200,0,45.7,85.6
"C",120,40,"MV2",0,0,0,0,0,100.32,0,47.62,300.32,0,134,828
"D",121,1,"MV1",0,0,0,0,0,22.5,3.85,0,0,0,200,1690
"D",122,2,"MV1",0,0,0,0,0,3.5,0,0,0,0,99.17,730.83
"D",123,3,"MV1",0,0,0,0,0,13.15,17.65,0,0,0,148.14,848.14
"D",124,4,"MV1",0,0,0,0,0,3.5,6.25,0,0,0,60.33,372.53
"D",125,5,"MV1",0,0,0,0,0,18.13,0,0,0,0,60.74,369.01
"D",126,6,"MV1",0,0,0,0,0,21.15,0,0,0,0,243.74,1973.34
"D",127,7,"MV1",0,0,0,0,0,16,10,0,0,0,243.97,1606.78
"D",128,8,"MV1",0,0,0,0,0,67.64,4.17,0,0,0,249.88,1897.61
"D",129,9,"MV1",0,0,0,0,0,33.31,0,0,0,0,143.46,1479.74
"D",130,10,"MV1",0,0,0,0,0,11.67,12.5,0,0,0,32.49,380.76
"D",131,11,"MV1",0,0,0,0,0,18.66,0,0,0,0,47.83,431.45
"D",132,12,"MV1",0,0,0,0,0,9.74,5.26,0,0,0,44.44,478.33
"D",133,13,"HYB1",2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05
"D",134,14,"MV1",0,0,0,0,0,11.15,5.26,0,0,0,140.39,1610.39
"D",135,15,"MV1",0,0,0,0,0,730.5,4.17,55.56,34.5,0,92.88,937.61
"D",136,16,"MV1",0,0,0,0,0,11.32,0,0,0,0,184,1788
"D",137,17,"MV1",0,0,0,0,0,10.91,0,0,0,0,144.15,939.23
"D",138,18,"MV1",0,0,0,0,0,11.84,0,0,0,0,244.15,1939.36
"D",139,19,"MV1",0,0,0,0,0,28.75,4,0,0,0,1407,1356.67
"D",140,20,"MV1",0,0,0,0,0,17.95,15,0,0,0,149.86,1372
"D",141,21,"MV1",0,0,0,0,0,24,5.35,0,0,0,200,1690
"D",142,22,"MV1",0,0,0,0,0,5,0,0,0,0,100.67,732.33
"D",143,23,"MV1",0,0,0,0,0,14.65,19.15,0,0,0,149.64,849.64
"D",144,24,"MV1",0,0,0,0,0,5,7.75,0,0,0,61.83,374.03
"D",145,25,"MV1",0,0,0,0,0,19.63,0,0,0,0,62.24,370.51
"D",146,26,"MV1",0,0,0,0,0,22.65,0,0,0,0,145.24,1974.84
"D",147,27,"MV1",0,0,0,0,0,17.5,10,0,0,0,145.47,1608.28
"D",148,28,"MV1",0,0,0,0,0,69.14,5.67,0,0,0,144.38,1899.11
"D",149,29,"MV2",0,0,62.94,0,0,549.21,0,33.08,200,0,27.2,87.1
"D",150,30,"MV1",0,0,0,0,0,13.17,14,0,0,0,33.99,382.26
"D",151,31,"MV1",0,0,0,0,0,20.16,0,0,0,0,49.33,432.95
"D",152,32,"MV1",0,0,0,0,0,11.24,6.76,0,0,0,45.94,479.83
"D",153,33,"HYB2",0,9.09,539,1168,0,0,25,15,287,1532,29.57,504
"D",154,34,"MV1",0,0,0,0,0,12.65,6.76,0,0,0,141.89,1611.89
"D",155,35,"MV1",0,0,89.24,24.24,0,0,6.92,36.4,212.57,0.25,71.57,731.57
"D",156,36,"MV1",0,0,0,0,0,12.41,0,0,0,0,145.65,940.73
"D",157,37,"MV1",0,0,0,0,0,13.34,0,0,0,0,145.65,1940.86
"D",158,38,"MV1",0,0,64.51,0,0,0,0,34.65,201.57,0,48.77,88.67
"D",159,39,"MV1",0,0,0,0,0,3.75,0,0.25,0,0,99.42,731.08
"D",160,40,"MV2",0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61
"E",161,1,"MV2",0,0,86.17,21.17,0,500.5,3.85,33.33,209.5,0,50,730
"E",162,2,"MV2",0,0,149.73,24.73,0,597.1,3.57,33.33,201.63,0,49.17,229.17
"E",163,3,"MV2",0,0,121.98,56.98,0,102.15,11.76,35,202.15,0,98.14,111.86
"E",164,4,"MV2",0,0,0,0,0,71.23,6.25,33.33,185,0,10.33,587.47
"E",165,5,"MV2",0,0,0,0,0,87.13,0,29.41,187.13,0,10.74,590.99
"E",166,6,"MV2",0,0,203.32,98.32,0,790.15,0,68.42,300.15,0,93.74,413.34
"E",167,7,"MV2",0,0,0,0,0,720.1,0,71.43,350,0,93.97,646.78
"E",168,8,"MV2",0,0,0,0,0,730.5,4.17,55.56,345,0,92.88,937.61
"E",169,9,"MV2",0,0,153.27,88.27,0,422.31,0,33.33,222.31,0,93.46,519.74
"E",170,10,"HYB2",0,0,917,916,0,0,18.75,12.5,216,1802,27.2,56.5
"E",171,11,"MV2",0,0,0,0,0,107.66,0,37.5,207.66,0,102.17,528.55
"E",172,12,"MV1",0,0,0,0,0,90,5.26,23.33,200,0,105.56,481.67
"E",173,13,"MV2",0,0,141.17,76.17,0,799.15,5.26,52.63,330,0,90.39,350.39
"E",174,14,"MV2",0,0,61.44,0,0,547.71,0,30.8,200,0,45.7,85.6
"E",175,15,"MV2",0,0,0,0,0,100.32,0,47.62,300.32,0,134,828
"E",176,16,"MV2",0,0,0,0,0,600,0,34.78,220,0,29.1,180.77
"E",177,17,"MV2",0,0,168.86,43.86,0,623.84,0,45.83,330.84,0,204.15,979.36
"E",178,18,"MV2",0,0,0,25.12,0,617.75,5.88,31.25,217.75,0,97,396.67
"E",179,19,"MV2",0,0,189.57,124.57,0,606.95,10.4,33.33,206.95,0,0,412
"E",180,20,"MV2",0,0,0,0,0,92.17,14,29.36,202.17,0,91.52,580.74
"E",181,21,"MV2",0,0,154.77,89.77,0,423.81,0,34.83,223.81,0,94.96,521.24
"E",182,22,"MV2",0,0,0,0,0,732,5.67,57.06,346.5,0,94.38,939.11
"E",183,23,"MV2",0,0,0,0,0,721.6,0,72.93,350,0,95.47,648.28
"E",184,24,"MV2",0,0,204.82,99.82,0,791.65,0,69.92,301.65,0,95.24,414.84
"E",185,25,"MV2",0,0,0,0,0,600,0,36.28,220,0,30.6,182.27
"E",186,26,"MV2",0,0,170.36,45.36,0,625.34,0,47.33,332.34,0,205.65,980.86
"E",187,27,"MV2",0,0,0,26.62,0,619.25,7.38,32.75,219.25,0,93.07,398.17
"E",188,28,"MV2",0,0,191.07,126.07,0,608.45,13.04,34.83,208.45,0,40.57,413.5
"E",189,29,"MV2",0,0,86.17,21.17,0,500.5,3.85,33.33,209.5,0,50,730
"E",190,30,"HYB1",6.01,3.67,58.87,51.1,39.96,0,39.96,0,0,0,48.61,293.15
"E",191,31,"MV2",0,0,0,0,0,72.73,7.75,84.83,186.5,0,71.83,588.97
"E",192,32,"MV2",0,0,139.17,77.19,0,801.19,6.37,53.36,327,0,89.4,349.39
"E",193,33,"HYB1",0,0,151.23,26.23,0,598.6,5.07,34.83,203.13,0,50.67,230.67
"E",194,34,"MV2",0,0,87.67,22.67,0,502,5.35,34.83,211,0,50,730
"E",195,35,"MV1",0,0,0,0,0,22.65,0,0,0,0,145.24,1974.84
"E",196,36,"MV2",0,0,142.67,77.67,0,800.65,6.76,54.13,330,0,91.89,351.89
"E",197,37,"MV2",0,0,62.94,0,0,549.21,0,33.08,200,0,27.2,87.1
"E",198,38,"MV2",0,0,0,0,0,101.82,0,49.12,301.82,0,135.5,829.5
"E",199,39,"MV2",0,0,49.52,0,0,91.82,0,50.35,299.32,0,25,90.12
"E",200,40,"MV2",0,0,0,0,0,100.5,0,50,315.5,0,130,830
